Land;Partner;Variable;Einheit;Jahr;Wert;Quelle
AUS;ARG;Inflows of foreign population by nationality;Tsd. Persons;2000;0.084;OECD Migration Database
AUS;ARG;Inflows of foreign population by nationality;Tsd. Persons;2001;0.111;OECD Migration Database
AUS;ARG;Inflows of foreign population by nationality;Tsd. Persons;2002;0.127;OECD Migration Database
AUS;ARG;Inflows of foreign population by nationality;Tsd. Persons;2003;0.209;OECD Migration Database
AUS;ARG;Inflows of foreign population by nationality;Tsd. Persons;2004;0.383;OECD Migration Database
AUS;ARG;Inflows of foreign population by nationality;Tsd. Persons;2005;0.387;OECD Migration Database
AUS;ARG;Inflows of foreign population by nationality;Tsd. Persons;2006;0.267;OECD Migration Database
AUS;ARG;Inflows of foreign population by nationality;Tsd. Persons;2007;0.174;OECD Migration Database
AUS;ARG;Inflows of foreign population by nationality;Tsd. Persons;2008;0.175;OECD Migration Database
AUS;ARG;Inflows of foreign population by nationality;Tsd. Persons;2009;0.161;OECD Migration Database
AUS;ARG;Inflows of foreign population by nationality;Tsd. Persons;2010;0.205;OECD Migration Database
AUS;AUT;Inflows of foreign population by nationality;Tsd. Persons;2000;0.13;OECD Migration Database
AUS;AUT;Inflows of foreign population by nationality;Tsd. Persons;2001;0.111;OECD Migration Database
AUS;AUT;Inflows of foreign population by nationality;Tsd. Persons;2002;0.146;OECD Migration Database
AUS;AUT;Inflows of foreign population by nationality;Tsd. Persons;2003;0.153;OECD Migration Database
AUS;AUT;Inflows of foreign population by nationality;Tsd. Persons;2004;0.158;OECD Migration Database
AUS;AUT;Inflows of foreign population by nationality;Tsd. Persons;2005;0.142;OECD Migration Database
AUS;AUT;Inflows of foreign population by nationality;Tsd. Persons;2006;0.143;OECD Migration Database
AUS;AUT;Inflows of foreign population by nationality;Tsd. Persons;2007;0.171;OECD Migration Database
AUS;AUT;Inflows of foreign population by nationality;Tsd. Persons;2008;0.129;OECD Migration Database
AUS;AUT;Inflows of foreign population by nationality;Tsd. Persons;2009;0.186;OECD Migration Database
AUS;AUT;Inflows of foreign population by nationality;Tsd. Persons;2010;0.174;OECD Migration Database
AUS;BEL;Inflows of foreign population by nationality;Tsd. Persons;2000;0.093;OECD Migration Database
AUS;BEL;Inflows of foreign population by nationality;Tsd. Persons;2001;0.106;OECD Migration Database
AUS;BEL;Inflows of foreign population by nationality;Tsd. Persons;2002;0.129;OECD Migration Database
AUS;BEL;Inflows of foreign population by nationality;Tsd. Persons;2003;0.149;OECD Migration Database
AUS;BEL;Inflows of foreign population by nationality;Tsd. Persons;2004;0.122;OECD Migration Database
AUS;BEL;Inflows of foreign population by nationality;Tsd. Persons;2005;0.117;OECD Migration Database
AUS;BEL;Inflows of foreign population by nationality;Tsd. Persons;2006;0.138;OECD Migration Database
AUS;BEL;Inflows of foreign population by nationality;Tsd. Persons;2007;0.14;OECD Migration Database
AUS;BEL;Inflows of foreign population by nationality;Tsd. Persons;2008;0.167;OECD Migration Database
AUS;BEL;Inflows of foreign population by nationality;Tsd. Persons;2009;0.163;OECD Migration Database
AUS;BEL;Inflows of foreign population by nationality;Tsd. Persons;2010;0.179;OECD Migration Database
AUS;BRA;Inflows of foreign population by nationality;Tsd. Persons;2000;0.178;OECD Migration Database
AUS;BRA;Inflows of foreign population by nationality;Tsd. Persons;2001;0.253;OECD Migration Database
AUS;BRA;Inflows of foreign population by nationality;Tsd. Persons;2002;0.326;OECD Migration Database
AUS;BRA;Inflows of foreign population by nationality;Tsd. Persons;2003;0.334;OECD Migration Database
AUS;BRA;Inflows of foreign population by nationality;Tsd. Persons;2004;0.362;OECD Migration Database
AUS;BRA;Inflows of foreign population by nationality;Tsd. Persons;2005;0.46;OECD Migration Database
AUS;BRA;Inflows of foreign population by nationality;Tsd. Persons;2006;0.538;OECD Migration Database
AUS;BRA;Inflows of foreign population by nationality;Tsd. Persons;2007;0.681;OECD Migration Database
AUS;BRA;Inflows of foreign population by nationality;Tsd. Persons;2008;0.789;OECD Migration Database
AUS;BRA;Inflows of foreign population by nationality;Tsd. Persons;2009;0.911;OECD Migration Database
AUS;BRA;Inflows of foreign population by nationality;Tsd. Persons;2010;1.206;OECD Migration Database
AUS;BGR;Inflows of foreign population by nationality;Tsd. Persons;2000;0.121;OECD Migration Database
AUS;BGR;Inflows of foreign population by nationality;Tsd. Persons;2001;0.111;OECD Migration Database
AUS;BGR;Inflows of foreign population by nationality;Tsd. Persons;2002;0.116;OECD Migration Database
AUS;BGR;Inflows of foreign population by nationality;Tsd. Persons;2003;0.112;OECD Migration Database
AUS;BGR;Inflows of foreign population by nationality;Tsd. Persons;2004;0.108;OECD Migration Database
AUS;BGR;Inflows of foreign population by nationality;Tsd. Persons;2005;0.114;OECD Migration Database
AUS;BGR;Inflows of foreign population by nationality;Tsd. Persons;2006;0.088;OECD Migration Database
AUS;BGR;Inflows of foreign population by nationality;Tsd. Persons;2007;0.086;OECD Migration Database
AUS;BGR;Inflows of foreign population by nationality;Tsd. Persons;2008;0.106;OECD Migration Database
AUS;BGR;Inflows of foreign population by nationality;Tsd. Persons;2009;0.093;OECD Migration Database
AUS;BGR;Inflows of foreign population by nationality;Tsd. Persons;2010;0.088;OECD Migration Database
AUS;CAN;Inflows of foreign population by nationality;Tsd. Persons;2000;1.045;OECD Migration Database
AUS;CAN;Inflows of foreign population by nationality;Tsd. Persons;2001;1.307;OECD Migration Database
AUS;CAN;Inflows of foreign population by nationality;Tsd. Persons;2002;1.322;OECD Migration Database
AUS;CAN;Inflows of foreign population by nationality;Tsd. Persons;2003;1.336;OECD Migration Database
AUS;CAN;Inflows of foreign population by nationality;Tsd. Persons;2004;1.416;OECD Migration Database
AUS;CAN;Inflows of foreign population by nationality;Tsd. Persons;2005;1.47;OECD Migration Database
AUS;CAN;Inflows of foreign population by nationality;Tsd. Persons;2006;1.696;OECD Migration Database
AUS;CAN;Inflows of foreign population by nationality;Tsd. Persons;2007;1.588;OECD Migration Database
AUS;CAN;Inflows of foreign population by nationality;Tsd. Persons;2008;1.727;OECD Migration Database
AUS;CAN;Inflows of foreign population by nationality;Tsd. Persons;2009;1.895;OECD Migration Database
AUS;CAN;Inflows of foreign population by nationality;Tsd. Persons;2010;1.938;OECD Migration Database
AUS;CHL;Inflows of foreign population by nationality;Tsd. Persons;2000;0.153;OECD Migration Database
AUS;CHL;Inflows of foreign population by nationality;Tsd. Persons;2001;0.158;OECD Migration Database
AUS;CHL;Inflows of foreign population by nationality;Tsd. Persons;2002;0.188;OECD Migration Database
AUS;CHL;Inflows of foreign population by nationality;Tsd. Persons;2003;0.211;OECD Migration Database
AUS;CHL;Inflows of foreign population by nationality;Tsd. Persons;2004;0.188;OECD Migration Database
AUS;CHL;Inflows of foreign population by nationality;Tsd. Persons;2005;0.195;OECD Migration Database
AUS;CHL;Inflows of foreign population by nationality;Tsd. Persons;2006;0.195;OECD Migration Database
AUS;CHL;Inflows of foreign population by nationality;Tsd. Persons;2007;0.176;OECD Migration Database
AUS;CHL;Inflows of foreign population by nationality;Tsd. Persons;2008;0.181;OECD Migration Database
AUS;CHL;Inflows of foreign population by nationality;Tsd. Persons;2009;0.236;OECD Migration Database
AUS;CHL;Inflows of foreign population by nationality;Tsd. Persons;2010;0.24;OECD Migration Database
AUS;CHI;Inflows of foreign population by nationality;Tsd. Persons;2000;8.055;OECD Migration Database
AUS;CHI;Inflows of foreign population by nationality;Tsd. Persons;2001;8.295;OECD Migration Database
AUS;CHI;Inflows of foreign population by nationality;Tsd. Persons;2002;9.102;OECD Migration Database
AUS;CHI;Inflows of foreign population by nationality;Tsd. Persons;2003;9.374;OECD Migration Database
AUS;CHI;Inflows of foreign population by nationality;Tsd. Persons;2004;12.523;OECD Migration Database
AUS;CHI;Inflows of foreign population by nationality;Tsd. Persons;2005;15.193;OECD Migration Database
AUS;CHI;Inflows of foreign population by nationality;Tsd. Persons;2006;17.267;OECD Migration Database
AUS;CHI;Inflows of foreign population by nationality;Tsd. Persons;2007;21.085;OECD Migration Database
AUS;CHI;Inflows of foreign population by nationality;Tsd. Persons;2008;20.694;OECD Migration Database
AUS;CHI;Inflows of foreign population by nationality;Tsd. Persons;2009;22.927;OECD Migration Database
AUS;CHI;Inflows of foreign population by nationality;Tsd. Persons;2010;25.025;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2000;0.03;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2001;0.023;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2002;0.022;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2003;0.018;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2004;0.029;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2005;0.012;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2006;0.015;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2007;0.015;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2008;0.012;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2009;0.008;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2010;0.017;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2000;0.084;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2001;0.115;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2002;0.171;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2003;0.126;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2004;0.15;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2005;0.179;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2006;0.206;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2007;0.193;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2008;0.202;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2009;0.188;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2010;0.162;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2000;0.119;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2001;0.156;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2002;0.208;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2003;0.15;OECD Migration Database
